[INFO ] 2021-05-16 10:46:31.890 [main] WebMvcTestContextBootstrapper (305)  - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nico5310.safetyNetAlerts.controller.PersonControllerTest], using SpringBootContextLoader
[INFO ] 2021-05-16 10:46:31.911 [main] AbstractContextLoader (264)  - Could not detect default resource locations for test class [com.nico5310.safetyNetAlerts.controller.PersonControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[INFO ] 2021-05-16 10:46:31.912 [main] AnnotationConfigContextLoaderUtils (83)  - Could not detect default configuration classes for test class [com.nico5310.safetyNetAlerts.controller.PersonControllerTest]: PersonControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[INFO ] 2021-05-16 10:46:32.236 [main] SpringBootTestContextBootstrapper (238)  - Found @SpringBootConfiguration com.nico5310.safetyNetAlerts.SafetyNetAlertsApplication for test class com.nico5310.safetyNetAlerts.controller.PersonControllerTest
[INFO ] 2021-05-16 10:46:32.242 [main] WebMvcTestContextBootstrapper (245)  - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[INFO ] 2021-05-16 10:46:32.271 [main] WebMvcTestContextBootstrapper (174)  - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7296675e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cd31e5f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@57be0d93, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3e02988, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@420d123d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@36d8ddc5, org.springframework.test.context.event.EventPublishingTestExecutionListener@112d8c18, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@13835bdc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@39352f6b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4973fb7d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@34c3e307, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3d1703f8, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2d492d46]
[INFO ] 2021-05-16 10:46:32.335 [main] SpringBootTestContextBootstrapper (305)  - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nico5310.safetyNetAlerts.controller.UrlControllerTest], using SpringBootContextLoader
[INFO ] 2021-05-16 10:46:32.352 [main] AbstractContextLoader (264)  - Could not detect default resource locations for test class [com.nico5310.safetyNetAlerts.controller.UrlControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[INFO ] 2021-05-16 10:46:32.353 [main] AnnotationConfigContextLoaderUtils (83)  - Could not detect default configuration classes for test class [com.nico5310.safetyNetAlerts.controller.UrlControllerTest]: UrlControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[INFO ] 2021-05-16 10:46:32.369 [main] SpringBootTestContextBootstrapper (238)  - Found @SpringBootConfiguration com.nico5310.safetyNetAlerts.SafetyNetAlertsApplication for test class com.nico5310.safetyNetAlerts.controller.UrlControllerTest
[INFO ] 2021-05-16 10:46:32.621 [main] SpringBootTestContextBootstrapper (245)  - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
